epoch,train_loss,val_loss,val_mae
1,0.19897914926211038,0.26421117782592773,0.47241887
2,0.1174130489428838,0.17269058525562286,0.38924322
3,0.08946983888745308,0.11129456758499146,0.3054097
4,0.04458663209031025,0.08668740838766098,0.24808995
5,0.05557470271984736,0.07953281700611115,0.22821103
6,0.053753829871614776,0.0786626785993576,0.22661602
7,0.06743149211009343,0.0866515040397644,0.2548226
8,0.04681964466969172,0.09867139905691147,0.28599715
9,0.0482217992345492,0.10699019581079483,0.30329606
10,0.05374546597401301,0.11029336601495743,0.3100111
11,0.07791045432289441,0.10553938895463943,0.30289823
12,0.045603382090727486,0.10256636142730713,0.29842937
13,0.03789905086159706,0.10117343068122864,0.29628408
14,0.036774809161822,0.09661606699228287,0.28813848
15,0.039334945380687714,0.08980170637369156,0.27460933
16,0.03432898595929146,0.08379863947629929,0.26143312
17,0.03259452308217684,0.08040756732225418,0.25350806
18,0.03189907285074393,0.07921845465898514,0.25114074
19,0.04294218743840853,0.07897070795297623,0.2508559
20,0.029389239226778347,0.0793290063738823,0.25217924
21,0.03951293478409449,0.07963094860315323,0.25344765
22,0.02810063088933627,0.0798659548163414,0.2544719
23,0.02545079868286848,0.07942966371774673,0.2536801
24,0.027154892062147457,0.07885672897100449,0.25245032
25,0.02547846424082915,0.07846836000680923,0.25155547
26,0.023761372392376263,0.07807601243257523,0.2506783
27,0.03683105856180191,0.07750126719474792,0.24931987
28,0.023208053161700565,0.07656169682741165,0.2469542
29,0.0355117991566658,0.07583871483802795,0.24519908
30,0.02659899617234866,0.07543454319238663,0.2443152
31,0.03887700786193212,0.07535616308450699,0.24433486
32,0.038240927581985794,0.07507643848657608,0.24377514
33,0.022003548219799995,0.07512864470481873,0.24412127
34,0.023611851657430332,0.07529104501008987,0.24475224
35,0.022791255886356037,0.07580259442329407,0.24638776
36,0.03421957169969877,0.07599974423646927,0.24716406
37,0.022768004486958187,0.0761890560388565,0.24795274
38,0.02489460197587808,0.07654443383216858,0.24916084
39,0.02691478282213211,0.07661891728639603,0.24947512
40,0.020910183588663738,0.07642295956611633,0.24907319
41,0.027893480534354847,0.07594887167215347,0.24793474
42,0.03130860812962055,0.07565957307815552,0.2472734
43,0.024748722712198894,0.07552779465913773,0.24701364
44,0.01926638123889764,0.07543743401765823,0.24686217
45,0.030653829375902813,0.07529937475919724,0.24653731
46,0.025217242538928986,0.07516214996576309,0.24621277
47,0.02806455393632253,0.07511061429977417,0.24611856
48,0.020764550815025967,0.075168676674366,0.24632294
49,0.022840005656083424,0.0749935433268547,0.24589391
50,0.017685307189822197,0.07474172860383987,0.24525718
